home,consent,eurofondy_iv,skolka_iv,skolka_agree,skolka_vote,skolka_norms,control,suma,praca,potreba,pila,age,etnicita,etnicita_3_TEXT,gender,etnic_ascr,SC0
1,1,4,2,1,1,2,3,4,2,3,3,11,1,"",2,1,31
3,2,,,,,,,,,,,,,"",,,2
3,1,3,2,3,3,3,3,3,3,3,3,18,1,"",2,2,35
3,1,4,4,4,4,4,4,4,2,4,4,44,1,"",2,2,44
4,,,,,,,,,,,,,,"",,,0
4,,,,,,,,,,,,,,"",,,0
1,1,4,3,3,4,2,4,1,1,4,4,22,2,"",2,2,38
1,1,3,4,4,4,2,3,3,1,4,3,15,2,"",1,2,38
3,1,4,1,3,4,4,4,4,4,4,4,22,1,"",2,2,42
3,1,4,4,4,4,4,4,1,2,4,3,33,1,"",2,2,40
3,1,3,3,4,4,4,4,4,4,4,4,17,1,"",2,2,44
3,1,3,4,3,4,4,3,2,4,3,3,18,1,"",1,2,38
3,1,4,4,4,4,3,3,3,1,3,4,26,1,"",2,2,39
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,3,4,4,3,3,4,3,1,4,4,17,1,"",1,2,39
1,1,4,4,4,4,1,4,4,4,4,4,48,2,"",1,2,44
3,1,3,4,4,4,4,4,3,1,3,4,36,1,"",2,2,40
1,1,3,4,4,4,4,4,3,4,4,4,23,1,"",2,2,45
1,1,4,4,4,4,4,4,4,1,4,3,33,1,"",2,2,43
3,2,,,,,,,,,,,,,"",,,2
3,1,4,4,4,4,4,4,3,1,4,4,20,1,"",2,2,42
3,2,,,,,,,,,,,,,"",,,2
3,1,4,4,3,4,3,4,4,4,3,4,10,1,"",2,2,43
1,1,4,4,4,4,4,4,4,4,4,4,42,1,"",1,2,46
1,,4,4,4,4,4,4,4,4,4,4,37,1,"",2,2,46
1,,1,2,4,,,,,,,,,,"",,,8
1,1,4,5,,,,,,,,,,,"",,,11
1,1,4,4,2,4,1,4,4,2,4,4,37,1,"",2,2,40
1,1,4,4,1,1,1,4,1,4,4,4,41,1,"",2,2,35
1,1,4,3,4,4,1,4,1,3,4,3,20,1,"",2,1,37
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,1,1,1,1,1,4,1,1,1,47,1,"",1,1,21
2,,,,,,,,,,,,,,"",,,2
,1,3,2,2,2,1,1,4,3,3,2,34,1,"",2,1,28
3,1,3,4,3,3,2,2,4,3,3,3,44,1,"",2,1,35
4,,,,,,,,,,,,,,"",,,0
1,1,1,4,3,3,1,3,3,3,2,3,53,1,"",1,1,31
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,1,1,2,1,1,,,,,,,"",,,12
1,1,1,1,1,1,1,1,1,1,1,1,48,1,"",2,1,16
1,1,3,2,2,2,1,1,2,2,1,2,15,1,"",1,1,23
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
